Импетиго,Поверхностное гнойничковое заболевание кожи.
Идиосинкразия,"непереносимость, неприятие, отторжение"
Партикулярный,"частный, неофициальный"
Лудомания," игромания, игровая зависимость"
Синергия,"взаимодействие двух или более факторов, при котором их действие существенно превосходит эффект каждого отдельного компонента в виде их простой суммы."
Эхолалия,"неконтролируемое автоматическое повторение слов, услышанных в чужой речи"
Индекс,"число, буквы или другая комбинация символов, указывающая место элемента в совокупности или характеризующая состояние некоторой системы, например показатель активности, производительности, развития, изменения чего-либо"
Моветон,"манеры, поступки, не принятые в хорошем обществе; дурной тон, невоспитанность"
Мезони́н,"надстройка над средней частью жилого дома, часто имеет балкон"
Бурлеск,Разновидность развлекательного театрального эротического шоу
Фасцинация,Влияние на воображение и волю человека с целью его психологического подчинения.
Моджо,"Внутренняя энергия, жизненная сила и харизма. "
Марини́ст,"художник-пейзажист, который пишет марины, то есть морские виды"
Конфайнмент,Неспособность существования кварков и глюонов в свободном состоянии в рамках стандартной модели физики элементарных частиц.
Аутентичность,"подлинность, действительность чего-либо, его соответствие первоисточнику"
Пеладофобия,боязнь облысения
Инцест,"Половая связь между близкими
кровными родственниками Понятие «близкий» в разных
культурах определяется по-разному, хотя почти во всех
культурах имеется табу инцеста."
Колумни́ст,постоянный автор какой-либо рубрики или колонки в журнале или газете
Гедонист,"человек, живущий и делающий все исключительно для наслаждения, получения удовольствия"
Зодчество,Архитектура; искусство проектировать и строить здания.
Морфема,"Мельчайшая значимая единица языка, выделяемая в составе слова и выполняющая функции словообразования и формообразования (словоизменения)."
Ватерли́ния,линия соприкосновения спокойной воды с корпусом плавающего судна; в переносном значении ниже ватерлинии - очень низко
Краудфандинг," это коллективное сотрудничество людей, которые добровольно объединяют свои деньги или другие ресурсы вместе, как правило через Интернет, чтобы поддержать усилия других людей или организаций "
Хедхантинг,"это одно из направлений поиска и подбора персонала ключевых и редких, как по специальности, так и по уровню профессионализма специалистов."
Тенор,"это высокий тип мужских голосов. Его диапазон в сольных партиях от малой до второй октавы, а в хоровых партиях до соль1, ля1."
Пунт,Нижняя часть бутылки вина.
Апсида,"примыкающий к основному объёму пониженный выступ здания, полукруглый, гранёный, прямоугольный или усложнённый в плане, перекрытый полукуполом (конхой) 
или сомкнутым полусводом. Как правило этим термином обозначаются алтарные объёмы в церковной архитектуре. "
Гиберна́ция, искусственно вызванное состояние замедленной жизнедеятельности организма похожее на зимнюю спячку у животных.
Рецессия,"Относительно умеренный, некритический спад производства или замедление темпов экономического роста. Спад производства характеризуется нулевым ростом валового национального продукта."
Панацея,"универсальное средство для решения всех проблем, мифологическое средство от всех болезней"
Вентерь,"Нестационарная донная ловушка закрытого типа, состоящая из одной или двух бочек (котлов), сетная часть которых крепится на нескольких жестких рамах или обручах, с системой входных отверстий различной формы, направляющих крыльев или без них."
Констатация,"удостоверение несомненности, наличия чего-либо."
Парейдолия,видение знакомых фигур в чем-либо
Манкировать,"Пренебрегать, небрежно относиться к чему-либо"
Сапиосексуал,"тот, кого возбуждают только умные люди"
Гекатомба,"у греков, жертвоприношение из 100 быков; также всякое торжественное жертвоприношение."
Эсхатология,система взглядов и представлений о конце света
Сингулярность,"единичность, неповторимость чего-либо"
Вампука,"шаблонное представление – кино или театральное, наполненное банальностями и трафаретными избитыми пассажами"
Вивисе́кция,проведение хирургических операций над живым животным с целью исследования функций организма (либо извлечённых отдельных органов)
Резигнация,"(от лат. resigno - уничтожаю, отменяю), это безропотное смирение полная покорность судьбе, отказ от активных действий. Иногда употреблялось: резиньяция."
Абулия,"патологическое безволие, отсутствие желаний и побуждений к деятельности, неспособности выполнить действие, необходимость которого осознаётся"
Аффилиация,"стремление быть в обществе других людей, потребность человека в создании тёплых, эмоционально значимых отношений с другими людьми"
Деликт,"незаконное действие, ​правонарушение, вызвавшее нанесение ущерба и влекущее за собой ​обязанность его возмещения"
Демаго́г,"тот, кто в рассуждениях, спорах, высказываниях использует пустые, не основанные на фактах фразы"
Виньетка,"украшение в виде рисунка, орнамента на листах почтовой бумаги, в альбомах, в книге."
Неофит,новообращённый в какую-либо религию; новичок в каком-либо деле
Гибристика,Древний аргосский праздник с выраженной полоролевой инверсией.
Эскорт,сопровождение любого вида
Феминизм, Женское движение за полное уравнение женщин в правах с мужчинами.
Пленэр,"живопись на природе, при естественном свете и в естественных условиях"
Пазиграфия,"система письма, выражающая смысл знаками, понятными всем или многим народам"
Ассертивность,"способность человека не зависеть от внешних оценок, самостоятельно регулировать собственное поведение и отвечать за него"
Инсайдер,"лицо в силу своего положения, имеющее доступ к конфиденциальной информации о делах фирмы."
Демарш,"дипломатическое выступление правительства или дипломатических органов одного государства перед правительством другого государства. в бытовом смысле — выпад; неожиданный, резкий поступок."
Аддикция , зависимость
Физиогномика,учение о соответствии черт лица и внешнего вида человека его характеру и мыслям
Инвазия,"1. Вторжение, нашествие.
2. Заражение человека, животных и растений паразитами."
Алертность,"Cостояние максимальной готовности к действию на фоне внутреннего спокойствия. Это физическая и душевная собранность, подтянутость, бдительность, способность моментального перехода к активному действию."
Берсерк,"по древнескандинавским легендам воин, отличавшийся неистовством и нечувствительностью к боли."
Харпаксофобия,боязнь разбойников и прочих криминальных элементов
Ментальный,"относящийся к уму, к умственной деятельности"
Энантиосеми́я,"ситуация, когда одно слово имеет два противоположных значения ."
Резолюция,"решение, принятое должностным лицом или совещательным органом."
Риги́дность,"жёсткость, твёрдость, упругость, неэластичность"
Эмбарго,"запрет на какие-либо действия, как правило, торговлю с государством со стороны других государств"
Колливубл,Урчание в животе от голода 
Оксиопия,чрезмерная острота зрения
Кинесика,"совокупность телодвижений, применяемых в процессе человеческого общения."
Пасодо́бль,"современный испанский бальный танец, имитирующий корриду"
Суггестия,"внушение, воздействие на психику, вызывающее несвойственные личности поступки"
Доломан,"Часть гусарского мундира: короткая (до талии) однобортная куртка со стоячим воротником и шнурами), поверх которого надевался ментик."
Реку́рсия,Изображениие какого-либо объекта или процесса внутри самого этого объекта или процесса.
Электора́т,"Круг избирателей, голосующих за определённую партию на парламентских, президентских или муниципальных выборах"
Престидижитация,"торговое умение, развивающее мелкую моторику рук для достижения экономического превосходства в торговых отношениях."
Мегаломания,"тип самосознания и поведения личности, выражающийся в крайней степени переоценки своей важности, популярности, богатства, власти, гениальности,политического влияния, вплоть до всемогущества"
Наитие,"внезапно пришедшая - как бы ниспосланная свыше - мысль; вдохновение, озарение"
Триангуляция,"система позиционирования на местности, основанная на трех точках"
Анклав,"часть территории государства, полностью окруженная территорией других государств"
Профурсетка,"Представительница прекрасного, или на любителя, пола известная своим легкомысленным образом жизни."
Оология,"Раздел зоологии, главным образом, орнитологии, посвященный изучению яиц животных, преимущественно птичьих."
Фамулус,"Слуга, помощник, в особенности у врачей, ученых или профессоров высших учебных заведений."
Диссиде́нт,"инакомыслящий, не согласный с господствующей идеологией, общепринятыми взглядами"
Фортель,"ловкая проделка, хитроумный приём, неожиданная выходка "
Кастелян,в феодальных государствах администратор за́мка и прилегающих территорий.
Натиформа,"Природные образования, обычно деревья, скалы, камни, которые напоминают женские формы"
Китч,"произведения массовой культуры, рассчитанные на невзыскательный вкус, отличающиеся яркой, броской формой"
Травести,"театральное амплуа актрисы, исполняющей роли подростков или роли, требующие переодевания в мужской костюм."
Лемниската,"научное название горизонтальной восьмерки, знака бесконечности"
Трюизм,общеизвестное мнение или высказывание
Минестро́не,"блюдо итальянской кухни, лёгкий суп из сезонных овощей, иногда с добавлением пасты или риса"
Дедлайн,"крайний срок, к которому должна быть выполнена задача"
Варна́к,"каторжанин, беглый каторжник, беглый заключённый"
Декупа́ж,"декорирование посуды, мебели, одежды с помощью вырезок"
Этхотнизм,"Неумение веселиться.
Чаще используется с приставкой Казуальный,"
Де́зерты,замшевые ботинки на креповой подошве с двумя парами отверстий для шнурков
Апофения,Поиск структуры или закономерности в случайных или бессмысленных данных
Френология,"теория, связывающая психические и интеллектуальные особенности человека с формой его черепа"
Иксотимик,"Тип темперамента: спокойный, маловпечатлительный, невысокая гибкость мышления."
Панграмма,"текст, использующий все или почти все буквы алфавита"
Конгломерат,"Соединение чего-нибудь разнородного, беспорядочная смесь, ассорти."
Вальтрап,"Специальное ""покрывало"" для лошадей,чтобы седло не натирало спину."
Эскапада,экстравагантная выходка
Нистагм,Непроизвольные подёргивания глаз
Пиит,Поэт
Квази,"приставка, соответствующая по значению словам ""мнимый"", ""ненастоящий"", ""почти""."
Конформность,"усвоение личностью социальных норм и ценностей, непроизвольное следование за мнением большинства"
Кабальеро,"слово, означающее «всадник» или «рыцарь»."
Плагиа́т,"умышленное присвоение авторства чужого произведения искусства или достижения науки, технических решений или изобретений"
